Numero,Titre,Prix,Superficie,Pieces,Code postal,Ville,REGION,Prix du metre carre,Prix moyen du metre carre
1,Appartement 4 pièces 79 m²,275000,79,4,38240,Meylan,Auvergne-Rhône-Alpes,3481.012658227848,3987.6716210996815
2,Appartement 4 pièces 78 m²,185000,78,4,38000,Grenoble,Auvergne-Rhône-Alpes,2371.794871794872,3987.6716210996815
3,Appartement 4 pièces 95 m²,105000,95,4,38130,Échirolles,Auvergne-Rhône-Alpes,1105.2631578947369,3987.6716210996815
4,Appartement 2 pièces 50 m²,373200,50,2,17310,Saint-Pierre-d'Oléron,Nouvelle-Aquitaine,7464.0,4643.733694870073
5,Appartement 3 pièces 86 m²,546000,86,3,17310,Saint-Pierre-d'Oléron,Nouvelle-Aquitaine,6348.837209302325,4643.733694870073
6,Appartement 3 pièces 80 m²,504000,80,3,17310,Saint-Pierre-d'Oléron,Nouvelle-Aquitaine,6300.0,4643.733694870073
7,Appartement 2 pièces 51 m²,370800,51,2,17310,Saint-Pierre-d'Oléron,Nouvelle-Aquitaine,7270.588235294118,4643.733694870073
8,Appartement 3 pièces 60 m²,400800,60,3,17310,Saint-Pierre-d'Oléron,Nouvelle-Aquitaine,6680.0,4643.733694870073
9,Appartement 2 pièces 35 m²,228600,35,2,17310,Saint-Pierre-d'Oléron,Nouvelle-Aquitaine,6531.428571428572,4643.733694870073
10,Appartement 3 pièces 63 m²,224000,63,3,91200,Athis-Mons,Île-de-France,3555.555555555556,5475.549796070834
11,Appartement 4 pièces 71 m²,259900,71,4,44000,Nantes,Pays de la Loire,3660.56338028169,3940.1224531256
12,Appartement 5 pièces 97 m²,498900,97,5,44100,Nantes,Pays de la Loire,5143.298969072165,3940.1224531256
13,Appartement 2 pièces 46 m²,183000,46,2,62600,Berck,Hauts-de-France,3978.2608695652175,3911.574802183785
14,Appartement 4 pièces 82 m²,310000,82,4,62600,Berck,Hauts-de-France,3780.487804878049,3911.574802183785
15,Appartement 3 pièces 64 m²,269000,64,3,62600,Berck,Hauts-de-France,4203.125,3911.574802183785
16,Appartement 2 pièces 40 m²,197000,40,2,62600,Berck,Hauts-de-France,4925.0,3911.574802183785
17,Appartement 3 pièces 59 m²,272000,59,3,62600,Berck,Hauts-de-France,4610.169491525424,3911.574802183785
18,Appartement 4 pièces 107 m²,393000,107,4,62600,Berck,Hauts-de-France,3672.8971962616815,3911.574802183785
19,Appartement 3 pièces 65 m²,66000,65,3,13015,Marseille 15,Provence-Alpes-Côte d'Azur,1015.3846153846154,4259.945365227293
20,Appartement 3 pièces 64 m²,321000,64,3,13007,Marseille 7,Provence-Alpes-Côte d'Azur,5015.625,4259.945365227293
21,Appartement 4 pièces 71 m²,150000,71,4,60400,Noyon,Hauts-de-France,2112.676056338028,3911.574802183785
22,Appartement 2 pièces 41 m²,148990,41,2,44000,Nantes,Pays de la Loire,3633.9024390243903,3940.1224531256
23,Appartement 3 pièces 79 m²,349900,79,3,44470,Carquefou,Pays de la Loire,4429.113924050633,3940.1224531256
24,Appartement 1 pièce 24 m²,131990,24,1,44300,Nantes,Pays de la Loire,5499.583333333333,3940.1224531256
25,Appartement 4 pièces 84 m²,446000,84,4,44300,Nantes,Pays de la Loire,5309.523809523809,3940.1224531256
26,Appartement 3 pièces 66 m²,275600,66,3,44000,Nantes,Pays de la Loire,4175.757575757576,3940.1224531256
27,Appartement 2 pièces 54 m²,465000,54,2,92130,Issy-les-Moulineaux,Île-de-France,8611.111111111111,5475.549796070834
28,Appartement 4 pièces 98 m²,255000,98,4,13004,Marseille 4,Provence-Alpes-Côte d'Azur,2602.0408163265306,4259.945365227293
